rank,cell,lat,lon,pagerank,in_traffic,distinct_taxis,distinct_taxis_hll,trips_per_taxi
1,89392200373ffff,41.238506,-8.669545,0.0016998633,72046,438,440,164.5
2,8939220037bffff,41.235337,-8.670687,0.0011766659,25972,437,440,59.4
3,8939220183bffff,41.203349,-8.65119,0.0009782115,76668,438,440,175.0
4,8939220e9b7ffff,41.207738,-8.463544,0.0008747815,42,29,29,1.4
5,89392200363ffff,41.236092,-8.666536,0.0008450298,68696,438,440,156.8
6,89392202217ffff,41.297937,-8.733536,0.0008195072,15,12,11,1.2
7,893922015a3ffff,41.240599,-8.723112,0.0007972925,236,135,133,1.7
8,8939220db2fffff,41.066414,-8.476061,0.0007746884,60,34,33,1.8
9,89392200e87ffff,41.25812,-8.64307,0.0007669437,755,272,279,2.8
10,89392202207ffff,41.295524,-8.730521,0.0007635438,12,11,11,1.1
11,8939220c82fffff,41.132914,-8.451966,0.0007606554,2,1,1,2.0
12,89392202bcfffff,41.292211,-8.634641,0.0007361896,15,10,10,1.5
13,8939220067bffff,41.246939,-8.720831,0.0007283985,140,100,98,1.4
14,8939227665bffff,41.067164,-8.471922,0.0007255474,46,32,32,1.4
15,8939220d0b3ffff,41.10254,-8.586814,0.0007174235,2225,387,379,5.7
16,89392201833ffff,41.206518,-8.650047,0.0007149963,63142,438,440,144.2
17,893922018abffff,41.208932,-8.653055,0.0007123736,63127,438,440,144.1
18,893922015b7ffff,41.243769,-8.721972,0.0006961714,170,117,115,1.5
19,89392208d83ffff,41.129544,-8.666143,0.0006954834,1953,347,345,5.6
20,8939227218bffff,41.053484,-8.61223,0.0006935348,29,19,19,1.5
21,89392270417ffff,41.007434,-8.621065,0.0006931916,92,32,33,2.9
22,893922018a3ffff,41.212101,-8.651912,0.0006924536,63202,438,440,144.3
23,89392202bcbffff,41.291458,-8.638795,0.0006907294,14,12,12,1.2
24,8939220eacbffff,41.167839,-8.520625,0.0006906663,499,193,198,2.6
25,8939220c20fffff,41.118072,-8.55024,0.0006898153,47,40,39,1.2
26,8939220cb93ffff,41.129748,-8.453115,0.0006707171,1,1,1,1.0
27,8939220dbcbffff,41.067493,-8.502742,0.0006700162,27,22,21,1.2
28,893922088a3ffff,41.10645,-8.662833,0.0006621275,538,230,225,2.3
29,89392205a7bffff,41.210903,-8.462395,0.0006608167,33,25,26,1.3
30,8939220d54bffff,41.104955,-8.589814,0.0006598413,2581,418,416,6.2
31,8939220c203ffff,41.120488,-8.553238,0.0006592016,44,34,34,1.3
32,8939227287bffff,41.028278,-8.55557,0.0006440549,35,22,22,1.6
33,893922075cfffff,41.324894,-8.568457,0.0006421483,47,20,19,2.4
34,893922018b3ffff,41.214515,-8.65492,0.0006371108,63203,438,440,144.3
35,8939223b68bffff,41.185407,-8.456153,0.0006369105,520,118,119,4.4
36,89392215acfffff,41.336547,-8.618612,0.0006305212,7,4,4,1.8
37,89392200b1bffff,41.236984,-8.596392,0.0006269631,1622,289,286,5.6
38,893922013a3ffff,41.201517,-8.710015,0.0006252876,1672,377,373,4.4
39,89392202203ffff,41.294768,-8.734677,0.0006216337,9,6,6,1.5
40,8939220190fffff,41.207875,-8.626293,0.0006157929,52794,437,437,120.8
41,8939220e587ffff,41.229578,-8.571922,0.0006151545,2461,375,375,6.6
42,8939220d18bffff,41.103139,-8.567244,0.0006140532,2778,400,392,6.9
43,89392201827ffff,41.204858,-8.642891,0.0006098115,34806,436,435,79.8
44,8939220036bffff,41.232923,-8.667678,0.0006043783,66568,438,440,152.0
45,8939220545bffff,41.257327,-8.56576,0.0006035863,164,86,87,1.9
46,893922088afffff,41.104036,-8.659829,0.0005996268,436,214,211,2.0
47,89392201dcbffff,41.224926,-8.662802,0.0005959916,62450,438,440,142.6
48,893922009cbffff,41.25765,-8.596679,0.000594498,157,111,113,1.4
49,89392201d4bffff,41.216929,-8.657928,0.000593667,63229,438,440,144.4
50,89392200943ffff,41.25282,-8.590667,0.0005933665,179,106,105,1.7
