min_len_km,rank,ss_estimate,ss_lb,ss_ub,cms_estimate,exact_support,length_km,n_cells,subroute
1,1,84252,77253,84252,85339.0,,1.082,4,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff
1,2,81039,74040,81039,82306.0,,1.104,4,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff
1,3,78875,71876,78875,80050.0,,1.071,4,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff
1,4,76064,69065,76064,77094.0,,1.082,4,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff
1,5,73898,66899,73898,75216.0,,1.104,4,8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff
1,6,73815,66816,73815,75109.0,,1.104,4,8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff
1,7,73748,66749,73748,75691.0,,1.472,5,8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff
1,8,73700,66701,73700,74942.0,,1.071,4,8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff
1,9,73635,66636,73635,75046.0,,1.071,4,8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,10,73574,66575,73574,74712.0,,1.429,5,8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,11,72211,65212,72211,73618.0,,1.104,4,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff
1,12,72160,65161,72160,74021.0,,1.472,5,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff
1,13,72015,65016,72015,73005.0,,1.84,6,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff
1,14,71771,64772,71771,73297.0,,1.071,4,8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff
1,15,71718,64719,71718,72880.0,,1.439,5,8939220f533ffff>8939220f5abffff>8939220f517ffff>8939220f513ffff>8939220f5c7ffff
1,16,71429,64430,71429,72697.0,,1.093,4,8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff
1,17,70298,63299,70298,71417.0,,1.45,5,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff
1,18,69751,62752,69751,71126.0,,1.071,4,8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff
1,19,69745,62746,69745,71015.0,,1.071,4,8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff
1,20,69705,62706,69705,70779.0,,1.429,5,8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff
1,21,69698,62699,69698,71038.0,,1.428,5,8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff
1,22,69685,62686,69685,71214.0,,1.079,4,8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,23,69659,62660,69659,71264.0,,1.786,6,8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff
1,24,69593,62594,69593,70816.0,,1.786,6,8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,25,69588,62589,69588,71229.0,,1.437,5,8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,26,69547,62548,69547,70871.0,,2.143,7,8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff
1,27,69528,62529,69528,70635.0,,1.794,6,8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,28,68133,61134,68133,69412.0,,1.098,4,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff
1,29,67825,60826,67825,69026.0,,1.079,4,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff
1,30,67807,60808,67807,69180.0,,1.095,4,8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff
1,31,66730,59731,66730,68140.0,,1.082,4,8939220f537ffff>8939220f533ffff>8939220f5abffff>8939220f517ffff
1,32,66413,59414,66413,67945.0,,1.093,4,8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff
1,33,65681,58682,65681,66799.0,,2.151,7,8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
1,34,65639,58640,65639,66603.0,,2.508,8,8939220f517ffff>8939220f513ffff>8939220f5c7ffff>8939220f5c3ffff>8939220f5dbffff>8939220f4afffff>8939220f4abffff>8939220f407ffff
