min_len_km,rank,support,length_km,n_cells,cluster_size,members_with_run,subroute
1,1,81039,1.104,4,7,7,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff
1,2,68133,1.098,4,9,9,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff
1,3,67825,1.079,4,6,6,8939220f00fffff>8939220f03bffff>8939220f077ffff>8939220f02bffff
1,4,63481,1.079,4,21,21,8939220f03bffff>8939220f077ffff>8939220f02bffff>8939220f02fffff
1,5,62616,1.461,5,4,3,8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff
1,6,58263,5.123,15,139,137,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,7,58263,5.123,15,19,18,8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
1,8,54490,1.439,5,13,9,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff
1,9,50934,1.458,5,6,4,8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff
1,10,48303,1.823,6,22,20,8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff
1,11,45578,1.439,5,9,8,8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff
1,12,44614,2.185,7,12,9,8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff
1,13,42990,1.079,4,3,3,8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff
1,14,42958,1.079,4,21,21,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff
1,15,38307,2.175,7,6,4,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff
1,16,38084,1.09,4,5,5,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f10fffff
1,17,37814,1.797,6,45,43,8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff
1,18,37814,1.797,6,7,5,8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff>8939220f46bffff>8939220f6b7ffff>8939220f6b3ffff
1,19,34282,2.175,7,122,81,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff
1,20,33876,1.104,4,23,18,8939220f08bffff>8939220f013ffff>8939220f003ffff>8939220f00fffff
1,21,33800,1.093,4,4,4,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff
