min_len_km,rank,support,length_km,n_cells,route
1,1,68133,1.098,4,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff
1,2,66413,1.093,4,8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff
1,3,42662,2.193,7,8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f523ffff
1,4,37819,1.436,5,8939220e247ffff>8939220e243ffff>8939220e257ffff>8939220e253ffff>8939220f527ffff
1,5,37230,1.071,4,8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e257ffff
1,6,35150,1.101,4,8939220f1cfffff>8939220f1c3ffff>8939220f1cbffff>8939220f1dbffff
1,7,33993,1.447,5,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f10fffff>8939220f10bffff
1,8,32113,1.818,6,8939220f067ffff>8939220f063ffff>8939220f073ffff>8939220f00bffff>8939220f057ffff>8939220f0cfffff
1,9,30335,1.09,4,8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff
1,10,27789,1.093,4,8939220f447ffff>8939220f457ffff>8939220f40bffff>8939220f41bffff
1,11,27649,1.101,4,8939220f6b7ffff>8939220f47bffff>8939220f447ffff>8939220f457ffff
1,12,24865,1.082,4,8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e243ffff
1,13,23874,1.072,4,8939220f6b7ffff>8939220f6b3ffff>8939220f687ffff>8939220f683ffff
1,14,23321,1.082,4,8939220f457ffff>8939220f447ffff>8939220f473ffff>8939220f477ffff
1,15,22194,2.889,9,8939220f027ffff>8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f003ffff>8939220f013ffff>8939220f08bffff>8939220f0d7ffff>8939220f0d3ffff
1,16,22053,1.45,5,8939220f467ffff>8939220f477ffff>8939220f473ffff>8939220f447ffff>8939220f457ffff
1,17,21485,1.436,5,8939220f523ffff>8939220f527ffff>8939220e253ffff>8939220e257ffff>8939220e243ffff
1,18,20573,1.082,4,8939220f093ffff>8939220f467ffff>8939220f477ffff>8939220f473ffff
1,19,19167,1.807,6,8939220f55bffff>8939220f543ffff>8939220f54fffff>8939220f57bffff>8939220f563ffff>8939220f56fffff
1,20,19085,1.082,4,8939220e247ffff>8939220e243ffff>8939220e253ffff>8939220f527ffff
1,21,17982,1.439,5,8939220f08fffff>8939220f0bbffff>8939220f0a3ffff>8939220f0afffff>8939220f1dbffff
1,22,17202,2.18,7,8939220f167ffff>8939220f12bffff>8939220f177ffff>8939220f10fffff>8939220f10bffff>8939220f147ffff>8939220f157ffff
1,23,16589,1.093,4,8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220f4cbffff
1,24,15787,1.439,5,8939220f0dbffff>8939220f6afffff>8939220f6abffff>8939220f617ffff>8939220f68fffff
1,25,15436,1.087,4,8939220e24fffff>8939220e27bffff>8939220e273ffff>8939220e20fffff
1,26,14896,1.082,4,8939220f19bffff>8939220f18bffff>8939220f18fffff>8939220f1bbffff
