min_len_km,min_sup,x_pct,rank,support,support_taxis,length_km,n_cells,subroute
1,5000,0.30969,1,11205,436,2.565,8,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a2fffff>89392201a23ffff
1,5000,0.30969,2,10912,411,1.445,5,8939220f067ffff>8939220f02bffff>8939220f02fffff>8939220f027ffff>8939220f023ffff
1,5000,0.30969,3,10461,427,1.082,4,8939220e2abffff>8939220e2afffff>8939220e237ffff>8939220e3cbffff
1,5000,0.30969,4,9266,435,1.458,5,8939220f08bffff>8939220f0d7ffff>8939220f0c7ffff>8939220f0d7ffff>8939220f0c3ffff
1,5000,0.30969,5,9155,424,1.098,4,8939220f507ffff>8939220f50fffff>8939220f577ffff>8939220f563ffff
1,5000,0.30969,6,9117,426,1.461,5,8939220f56fffff>8939220f1d3ffff>8939220f1dbffff>8939220f037ffff>8939220f023ffff
1,5000,0.30969,7,8948,425,4.352,13,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f397ffff>8939220f387ffff>8939220f3b3ffff>8939220f3a3ffff>8939220f3a7ffff>8939220c6d3ffff>8939220f16fffff>8939220c69bffff>8939220c68bffff>8939220c683ffff
1,5000,0.30969,8,8875,434,2.154,7,8939220f477ffff>8939220f473ffff>8939220f447ffff>8939220f457ffff>8939220f453ffff>8939220a927ffff>8939220a923ffff
1,5000,0.30969,9,8871,435,1.439,5,8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f037ffff
1,5000,0.30969,10,8815,434,1.817,6,8939220e24fffff>8939220e27bffff>8939220e273ffff>8939220e20fffff>8939220e207ffff>8939220e2abffff
1,5000,0.30969,11,8725,285,5.101,15,8939220f167ffff>8939220f12bffff>8939220f167ffff>8939220c69bffff>8939220c683ffff>8939220c693ffff>8939220c697ffff>8939220f12fffff>8939220f127ffff>8939220f123ffff>8939220f137ffff>8939220c4dbffff>8939220c4d3ffff>8939220e26bffff>8939220e27bffff
