bucket,bucket_trips,min_sup,rank,support,length_km,subroute
night,296575,148,1,412,3.281,8939220f507ffff>8939220f50fffff>8939220f577ffff>8939220f563ffff>8939220f56bffff>8939220f0a7ffff>8939220f0afffff>8939220f1dbffff>8939220f037ffff>8939220f023ffff
night,296575,148,2,364,3.286,8939220f023ffff>8939220f02bffff>8939220f02fffff>8939220f027ffff>8939220f1cbffff>8939220f153ffff>8939220f1cfffff>8939220f157ffff>8939220f1cfffff>8939220f1c7ffff
night,296575,148,3,361,5.101,8939220f02bffff>8939220f02fffff>8939220f023ffff>8939220f027ffff>8939220f037ffff>8939220f1cbffff>8939220f1dbffff>8939220f1d3ffff>8939220f56fffff>8939220f567ffff>8939220f52bffff>8939220f193ffff>8939220f52fffff>8939220f197ffff>8939220e25bffff
night,296575,148,4,321,4.352,8939220c683ffff>8939220c68bffff>8939220c69bffff>8939220f16fffff>8939220c6d3ffff>8939220f3a7ffff>8939220f3a3ffff>8939220f3b3ffff>8939220f387ffff>8939220f397ffff>8939220f383ffff>8939220f393ffff>8939220f067ffff
night,296575,148,5,312,3.638,8939220f02bffff>8939220f02fffff>8939220f393ffff>8939220f397ffff>8939220f14bffff>8939220f3b3ffff>8939220f3bbffff>8939220f317ffff>8939220f307ffff>8939220f33bffff>8939220f32bffff
night,296575,148,6,311,3.976,8939220f067ffff>8939220f393ffff>8939220f383ffff>8939220f387ffff>8939220f3b3ffff>8939220f3a3ffff>8939220f3a7ffff>8939220c6d3ffff>8939220f16fffff>8939220c69bffff>8939220c68bffff>8939220c683ffff
night,296575,148,7,307,4.371,8939220f1b3ffff>8939220f1bbffff>8939220f18fffff>8939220f183ffff>8939220f18bffff>8939220f1c7ffff>8939220f1c3ffff>8939220f1cfffff>8939220f1c3ffff>8939220f1cbffff>8939220f1dbffff>8939220f1cbffff>8939220f037ffff
night,296575,148,8,305,3.63,8939220f03bffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f55bffff>8939220f543ffff>8939220f55bffff
night,296575,148,9,301,12.078,8939220f407ffff>8939220f417ffff>8939220f48fffff>8939220f483ffff>8939220f493ffff>89392201a2bffff>89392201a3bffff>89392201a07ffff>89392201a17ffff>89392201a8fffff>89392201a87ffff>8939220184bffff>8939220184fffff>89392201843ffff>8939220184fffff>89392201847ffff>89392201873ffff>8939220180fffff>89392201877ffff>8939220183bffff>89392201833ffff>893922018abffff>893922018a3ffff>893922018b3ffff>89392201d4bffff>89392201d43ffff>89392201d5bffff>89392201d53ffff>89392201dcbffff>89392201ddbffff>89392201ca7ffff>8939220036bffff>89392200363ffff>89392200373ffff
night,296575,148,10,293,5.819,8939220f023ffff>8939220f03bffff>8939220f00fffff>8939220f007ffff>8939220f017ffff>8939220f0abffff>8939220f0bbffff>8939220f0b3ffff>8939220f087ffff>8939220f54bffff>8939220f55bffff>8939220f543ffff>8939220f553ffff>8939220f5cfffff>8939220f5c3ffff>8939220f5d7ffff>89392201b6fffff
